tripleid,word1,word2,word2vec-score,wu-palmer-score,brown-vector-score,your-novel-score
0,dog,cat,0.761,1.0,0.766,0.858
0,dog,house,0.257,0.3,0.861,0.395
0,cat,house,0.268,0.3,0.648,0.357
1,bottle,house,0.198,0.364,0.781,0.381
1,bottle,run,-0.009,0.364,0.835,0.309
1,house,run,0.062,0.8,0.861,0.517
2,drum,health,0.022,0.267,0.54,0.224
2,drum,milk,0.051,0.75,0.627,0.446
2,health,milk,0.255,0.235,0.625,0.321
3,doc,queen,0.139,0.909,0.398,0.499
3,doc,friend,0.142,0.818,0.618,0.508
3,queen,friend,0.168,0.818,0.66,0.526
4,save,help,0.336,0.941,0.816,0.674
4,save,waste,0.267,0.833,0.731,0.586
4,help,waste,0.061,0.588,0.701,0.4
